customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST0001,Male,0,Yes,Yes,62,Yes,No phone service,No,No,Yes,No internet service,No,No,No internet service,Month-to-month,No,Mailed check,35.02,2190.63,No
CUST0002,Female,1,Yes,Yes,11,Yes,No phone service,No,No internet service,No internet service,No,No internet service,No,Yes,One year,No,Bank transfer,27.81,307.44,No
CUST0003,Male,0,No,No,10,Yes,Yes,Fiber optic,Yes,No,No internet service,Yes,No,No,Month-to-month,Yes,Electronic check,74.38,764.13,Yes
CUST0004,Male,0,Yes,Yes,12,Yes,No phone service,Fiber optic,No internet service,No,No,No,No internet service,Yes,Month-to-month,No,Electronic check,56.5,717.7,Yes
CUST0005,Male,0,Yes,Yes,34,Yes,No phone service,Fiber optic,No,No internet service,Yes,No,Yes,No,Two year,No,Electronic check,36.81,1260.43,Yes
CUST0006,Female,1,Yes,No,26,Yes,No phone service,Fiber optic,Yes,No,Yes,No internet service,No internet service,No,Month-to-month,No,Electronic check,99.77,2639.46,Yes
CUST0007,Male,0,Yes,Yes,66,No,No phone service,No,No,Yes,No internet service,No,No,No internet service,One year,Yes,Electronic check,57.54,3828.4,No
CUST0008,Male,0,No,Yes,44,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,28.6,1277.59,Yes
CUST0009,Male,0,No,No,66,Yes,No,DSL,No,Yes,No,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,46.23,3063.16,Yes
CUST0010,Female,0,No,No,21,Yes,No phone service,Fiber optic,No,No internet service,No internet service,Yes,Yes,No internet service,Month-to-month,No,Credit card,87.69,1893.68,Yes
CUST0011,Male,0,No,No,41,Yes,No,Fiber optic,Yes,No,No internet service,Yes,Yes,No internet service,Month-to-month,No,Electronic check,84.79,3526.97,Yes
CUST0012,Male,0,No,Yes,19,Yes,Yes,No,No internet service,Yes,No,No internet service,No,Yes,Month-to-month,Yes,Bank transfer,46.25,917.83,Yes
